香港,#genre#
//域名版浙江电信组播
凤凰中文,http://lx.haoyuhuojia.com:4022/rtp/233.50.200.191:5140
凤凰资讯,http://lx.haoyuhuojia.com:4022/rtp/233.50.200.192:5140
//域名版四川电信组播
凤凰中文,http://n1.jimgo.win:4022/udp/239.93.0.162:2192
凤凰中文,http://n1.jimgo.win:4022/udp/239.93.1.9:2192
凤凰资讯,http://n1.jimgo.win:4022/udp/239.93.0.118:2191
凤凰资讯,http://n1.jimgo.win:4022/udp/239.93.1.4:2191
//域名版甘肃电信组播
凤凰资讯,http://a.5iu.xyz:10000/udp/239.255.30.70:8231
凤凰中文,http://a.5iu.xyz:10000/udp/239.255.30.50:8231
凤凰香港,http://a.5iu.xyz:10000/udp/239.255.30.123:8231
凤凰资讯,http://www.lebaobei.top:6868/udp/239.255.30.70:8231
凤凰中文,http://www.lebaobei.top:6868/udp/239.255.30.50:8231
凤凰香港,http://www.lebaobei.top:6868/udp/239.255.30.123:8231
//域名版湖南电信组播
凤凰中文,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.246.134:1234
凤凰中文,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.253.135:9000
凤凰中文,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.246.7:1234
凤凰资讯,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.253.134:9000
凤凰资讯,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.246.135:1234
凤凰资讯,http://do.dsp.mp.mi4.xyz:8888/udp/239.76.246.8:1234
凤凰中文,http://171.213.36.107:8888/udp/239.93.0.162:2192
